artist,album,track_name,track_id,danceability,energy,loudness,speechiness,instrumentalness,liveness
The Alan Parsons Project,Eye In The Sky (Expanded Edition),Eye In The Sky,39qYD4J4BKvZMQgxfXl5bv,0.823,0.417,-12.643,0.032,0.00098,0.0765
The Hollies,Distant Light (1999 Remaster),Long Cool Woman (In a Black Dress) - 1999 Remaster,5UwbnHhjnbinJH8TefuQfN,0.757,0.868,-9.326,0.062,0.00221,0.355
Deep Purple,Deepest Purple (30th Anniversary Edition),Smoke On The Water - 1997 Remix,134m3VQMnGMJLQLwsz7Q5A,0.637,0.598,-10.781,0.0282,0.625,0.0639
Deep Purple,Machine Head,Lazy,0ZAPlh9j5ixbKfaMFMN0be,0.356,0.66,-11.451,0.0632,0.587,0.0934
The Dave Clark Five,All the Hits (2019 - Remaster),Because - 2019 - Remaster,2SFwAObMpqOyeeCjLPxXOT,0.712,0.508,-9.562,0.0343,1.13e-05,0.286
Cyndi Lauper,She's So Unusual,Time After Time,7o9uu2GDtVDr9nsR7ZRN73,0.726,0.449,-9.206,0.0286,1.34e-06,0.0824
The Dave Clark Five,Everybody Knows (2019 - Remaster),Everybody Knows - 2019 - Remaster,5xH80PFXAGUdWcCWlWCbqp,0.481,0.523,-10.61,0.0267,0.0,0.151
Fleetwood Mac,Tango In the Night (Deluxe Edition),Everywhere - 2017 Remaster,254bXAqt3zP6P50BdQvEsq,0.73,0.487,-10.991,0.0303,0.01,0.0852
The Lettermen,The Lettermen Live In The Philippines,Morning Girl,0FFeaprR7BotG9uXjA5nD1,0.315,0.331,-11.352,0.0545,0.0024,0.863
Heart,Bad Animals,Alone,54b8qPFqYqIndfdxiLApea,0.418,0.452,-13.099,0.0356,0.00026,0.0959
John Waite,No Brakes,Missing You,1Qrdlkgg9I4J7r3P4kZNwr,0.552,0.552,-9.736,0.0364,0.0,0.046
Foreigner,Agent Provocateur,I Want to Know What Love Is - 1999 Remaster,1JLn8RhQzHz3qDqsChcmBl,0.477,0.471,-10.036,0.0277,1.76e-06,0.131
The Dave Clark Five,Weekend in London (2019 - Remaster),'Til the Right One Comes Along - 2019 - Remaster,3CxRW8LTD7hVnM0OmZ2hVg,0.679,0.327,-10.057,0.071,0.0,0.141
Junior,Solo,Si No Te Amase,07eWCsHSvJJdoniBnzeKy0,0.621,0.264,-12.097,0.0268,0.000155,0.119
Jo Boxers,Like Gangbusters,Just Got Lucky,2f95gIKDeiDyk25KFkiL4m,0.644,0.904,-9.198,0.0582,2.77e-06,0.297
Carpenters,Carpenters,Rainy Days And Mondays,5cbZDpFu1hTwaU7hDQpf13,0.351,0.235,-11.513,0.0323,0.0,0.0688
Kim Carnes,Mistaken Identity,Bette Davis Eyes,0odIT9B9BvOCnXfS0e4lB5,0.675,0.649,-10.271,0.0319,0.0,0.0959
Fleetwood Mac,Tango In the Night (Deluxe Edition),Little Lies - 2017 Remaster,4CoSCPlKNrWli7E5kFtbcl,0.64,0.649,-10.345,0.0264,8.3e-05,0.0551
Eagles,Hell Freezes Over (Remaster 2018),Love Will Keep Us Alive,7bJSiwLFnhoO7g83bWkCtA,0.658,0.374,-11.684,0.026,1.28e-05,0.112
Bee Gees,Tales From The Brothers Gibb,Melody Fair,099oIEPgz2B1HWdcja6GXw,0.436,0.336,-12.649,0.0238,0.0,0.106
Michael Jackson,"Forever, Michael",One Day In Your Life,7vtaQNW7QHtQsLeshQlm3D,0.294,0.483,-11.674,0.031,0.0185,0.128
Ricky Nelson,Legacy,Hello Mary Lou,0YOasUp8fxPk3FXEa3fZ9z,0.588,0.601,-11.031,0.0291,1.01e-06,0.08
Ricky Nelson,Rick Is 21,Travelin' Man - Remastered,1sM0yZDxUhPQhkDh2CLd6l,0.723,0.44,-10.536,0.0319,0.0,0.128
Ringo Starr,Ringo,You're Sixteen (You’re Beautiful And You’re Mine),4MAxWahEbzU8m4bD6mSZg9,0.665,0.629,-12.852,0.0441,1.84e-05,0.0637
George McCrae,George McCrae - Disco Pioneer,Rock Your Baby,16KwF7IrKHTVTitUKH58g3,0.594,0.906,-5.536,0.0594,0.00122,0.0778
Kenny Rogers,The Gambler,She Believes In Me,5ggOAMsJCAYDHnyoqJ0xAD,0.32,0.413,-12.472,0.0314,4.97e-06,0.346
The Dave Clark Five,Glad All Over (2019 - Remaster),Crying Over You - 2019 - Remaster,5i76LSK7FW3nm6OBbOajQw,0.501,0.36,-11.314,0.0271,0.0,0.0741
The Dave Clark Five,American Tour (2019 - Remaster),Whenever You're Around - 2019 - Remaster,2KupmrXvERFNqwaJjw2rIH,0.565,0.493,-11.992,0.0348,1.27e-05,0.151
The Cranberries,To The Faithful Departed,Will You Remember?,6wNfuiwKeZXyFhFcWFuhQr,0.499,0.402,-12.053,0.0325,0.0824,0.168
The Alan Parsons Project,Eye In The Sky (Expanded Edition),Eye In The Sky,39qYD4J4BKvZMQgxfXl5bv,0.823,0.417,-12.643,0.032,0.00098,0.0765
The Hollies,Distant Light (1999 Remaster),Long Cool Woman (In a Black Dress) - 1999 Remaster,5UwbnHhjnbinJH8TefuQfN,0.757,0.868,-9.326,0.062,0.00221,0.355
Deep Purple,Deepest Purple (30th Anniversary Edition),Smoke On The Water - 1997 Remix,134m3VQMnGMJLQLwsz7Q5A,0.637,0.598,-10.781,0.0282,0.625,0.0639
Deep Purple,Machine Head,Lazy,0ZAPlh9j5ixbKfaMFMN0be,0.356,0.66,-11.451,0.0632,0.587,0.0934
The Dave Clark Five,All the Hits (2019 - Remaster),Because - 2019 - Remaster,2SFwAObMpqOyeeCjLPxXOT,0.712,0.508,-9.562,0.0343,1.13e-05,0.286
Cyndi Lauper,She's So Unusual,Time After Time,7o9uu2GDtVDr9nsR7ZRN73,0.726,0.449,-9.206,0.0286,1.34e-06,0.0824
The Dave Clark Five,Everybody Knows (2019 - Remaster),Everybody Knows - 2019 - Remaster,5xH80PFXAGUdWcCWlWCbqp,0.481,0.523,-10.61,0.0267,0.0,0.151
Fleetwood Mac,Tango In the Night (Deluxe Edition),Everywhere - 2017 Remaster,254bXAqt3zP6P50BdQvEsq,0.73,0.487,-10.991,0.0303,0.01,0.0852
The Lettermen,The Lettermen Live In The Philippines,Morning Girl,0FFeaprR7BotG9uXjA5nD1,0.315,0.331,-11.352,0.0545,0.0024,0.863
Heart,Bad Animals,Alone,54b8qPFqYqIndfdxiLApea,0.418,0.452,-13.099,0.0356,0.00026,0.0959
John Waite,No Brakes,Missing You,1Qrdlkgg9I4J7r3P4kZNwr,0.552,0.552,-9.736,0.0364,0.0,0.046
Foreigner,Agent Provocateur,I Want to Know What Love Is - 1999 Remaster,1JLn8RhQzHz3qDqsChcmBl,0.477,0.471,-10.036,0.0277,1.76e-06,0.131
The Dave Clark Five,Weekend in London (2019 - Remaster),'Til the Right One Comes Along - 2019 - Remaster,3CxRW8LTD7hVnM0OmZ2hVg,0.679,0.327,-10.057,0.071,0.0,0.141
Junior,Solo,Si No Te Amase,07eWCsHSvJJdoniBnzeKy0,0.621,0.264,-12.097,0.0268,0.000155,0.119
Jo Boxers,Like Gangbusters,Just Got Lucky,2f95gIKDeiDyk25KFkiL4m,0.644,0.904,-9.198,0.0582,2.77e-06,0.297
Carpenters,Carpenters,Rainy Days And Mondays,5cbZDpFu1hTwaU7hDQpf13,0.351,0.235,-11.513,0.0323,0.0,0.0688
Kim Carnes,Mistaken Identity,Bette Davis Eyes,0odIT9B9BvOCnXfS0e4lB5,0.675,0.649,-10.271,0.0319,0.0,0.0959
Fleetwood Mac,Tango In the Night (Deluxe Edition),Little Lies - 2017 Remaster,4CoSCPlKNrWli7E5kFtbcl,0.64,0.649,-10.345,0.0264,8.3e-05,0.0551
Eagles,Hell Freezes Over (Remaster 2018),Love Will Keep Us Alive,7bJSiwLFnhoO7g83bWkCtA,0.658,0.374,-11.684,0.026,1.28e-05,0.112
Bee Gees,Tales From The Brothers Gibb,Melody Fair,099oIEPgz2B1HWdcja6GXw,0.436,0.336,-12.649,0.0238,0.0,0.106
